country_name,bcode,ccode,bccode,alt_ccode,basin_name,continent_code,area
Uzbekistan,ARAL,UZB,ARAL_UZB, ,Aral Sea,AS,375912
Cote d'Ivoire,CSTO,CIV,CSTO_CIV, ,Cestos,AF,2228
Afghanistan,HLMD,AFG,HLMD_AFG, ,Helmand,AS,312289
Pakistan,INDU,PAK,INDU_PAK, ,Indus,AS,429387
Cameroon,AKPA,CMR,AKPA_CMR, ,Akpa,AF,577
Nigeria,AKPA,NGA,AKPA_NGA, ,Akpa,AF,1857
Canada,ALSK,CAN,ALSK_CAN, ,Alsek,NA,26164
United States of America,ALSK,USA,ALSK_USA, ,Alsek,NA,2056
Guyana,AMCR,GUY,AMCR_GUY, ,Amacuro,SA,707
Venezuela,AMCR,VEN,AMCR_VEN, ,Amacuro,SA,3011
China,AMUR,CHN,AMUR_CHN, ,Amur,AS,889168
Dem People's Rep of Korea,AMUR,PRK,AMUR_PRK, ,Amur,AS,60
Mongolia,AMUR,MNG,AMUR_MNG, ,Amur,AS,195022
Russian Federation,AMUR,RUS,AMUR_RUS, ,Amur,AS,1008440
Lebanon,ANAK,LBN,ANAK_LBN, ,An Nahr Al Kabir,AS,297
Syrian Arab Republic,ANAK,SYR,ANAK_SYR, ,An Nahr Al Kabir,AS,735
Kazakhstan,ARAL,KAZ,ARAL_KAZ, ,Aral Sea,AS,357984
Turkmenistan,ARAL,TKM,ARAL_TKM, ,Aral Sea,AS,58116
Lebanon,ASIX,LBN,ASIX_LBN, ,Asi/Orontes,AS,2042
Syrian Arab Republic,ASIX,SYR,ASIX_SYR, ,Asi/Orontes,AS,16081
Turkey,ASIX,TUR,ASIX_TUR, ,Asi/Orontes,AS,5707
Dominican Republic,ATBN,DOM,ATBN_DOM, ,Artibonite,NA,2608
Haiti,ATBN,HTI,ATBN_HTI, ,Artibonite,NA,6252
Azerbaijan,ATCY,AZE,ATCY_AZE, ,Astara Chay,AS,163
Iran  (Islamic Republic of),ATCY,IRN,ATCY_IRN, ,Astara Chay,AS,240
Iran  (Islamic Republic of),ATRK,IRN,ATRK_IRN, ,Atrak,AS,24715
Turkmenistan,ATRK,TKM,ATRK_TKM, ,Atrak,AS,11706
Argentina,AVLS,ARG,AVLS_ARG, ,Aviles,SA,264
Chile,AVLS,CHL,AVLS_CHL, ,Aviles,SA,32
Djibouti,AWSH,DJI,AWSH_DJI, ,Awash,AF,11071
Ethiopia,AWSH,ETH,AWSH_ETH, ,Awash,AF,140988
Somalia,AWSH,SOM,AWSH_SOM, ,Awash,AF,205
Argentina,AYSN,ARG,AYSN_ARG, ,Aysen,SA,729
Argentina,BAKR,ARG,BAKR_ARG, ,Baker,SA,6551
Chile,BAKR,CHL,BAKR_CHL, ,Baker,SA,20335
Ireland,BANN,IRL,BANN_IRL, ,Bann,EU,372
U.K. of Great Britain and Northern Ireland,BANN,GBR,BANN_GBR, ,Bann,EU,5374
France,BDSO,FRA,BDSO_FRA, ,Bidasoa,EU,17
Spain,BDSO,ESP,BDSO_ESP, ,Bidasoa,EU,702
Cameroon,BENT,CMR,BENT_CMR, ,Benito/Ntem,AF,17945
Equatorial Guinea,BENT,GNQ,BENT_GNQ, ,Benito/Ntem,AF,14901
Gabon,BENT,GAB,BENT_GAB, ,Benito/Ntem,AF,11483
C̫te d'Ivoire,BIAX,CIV,BIAX_CIV, ,Bia,AF,4748
Ghana,BIAX,GHA,BIAX_GHA, ,Bia,AF,6580
China,BLUN,CHN,BLUN_CHN, ,Beilun,AS,712
Viet Nam,BLUN,VNM,BLUN_VNM, ,Beilun,AS,128
Guatemala,BLZE,GTM,BLZE_GTM, ,Belize,NA,2457
Brunei Darussalam,BNGU,BRN,BNGU_BRN, ,Bangau,AS,117
Malaysia,BNGU,MYS,BNGU_MYS, ,Bangau,AS,13
Eritrea,BRKA,ERI,BRKA_ERI, ,Baraka,AF,42091
Sudan,BRKA,SDN,BRKA_SDN, ,Baraka,AF,21679
Guyana,BRMA,GUY,BRMA_GUY, ,Barima,SA,40
Venezuela,BRMA,VEN,BRMA_VEN, ,Barima,SA,883
Latvia,BRTA,LVA,BRTA_LVA, ,Barta,EU,2034
Lithuania,BRTA,LTU,BRTA_LTU, ,Barta,EU,692
Mozambique,BUZI,MOZ,BUZI_MOZ, ,Buzi,AF,24798
Zimbabwe,BUZI,ZWE,BUZI_ZWE, ,Buzi,AF,3692
Guatemala,CDLR,GTM,CDLR_GTM, ,Candelaria,NA,2333
Mexico,CDLR,MEX,CDLR_MEX, ,Candelaria,NA,12276
Costa Rica,CGNL,CRI,CGNL_CRI, ,Changuinola,NA,237
Panama,CGNL,PAN,CGNL_PAN, ,Changuinola,NA,2979
Argentina,CHIC,ARG,CHIC_ARG, ,Carmen Silva/Chico,SA,1219
Chile,CHIC,CHL,CHIC_CHL, ,Carmen Silva/Chico,SA,846
Ecuador,CHIR,ECU,CHIR_ECU, ,Chira,SA,7169
Peru,CHIR,PER,CHIR_PER, ,Chira,SA,10515
Honduras,CHLT,HND,CHLT_HND, ,Choluteca,NA,7769
Nicaragua,CHLT,NIC,CHLT_NIC, ,Choluteca,NA,280
Brazil,CHUY,BRA,CHUY_BRA, ,Chuy,SA,625
Uruguay,CHUY,URY,CHUY_URY, ,Chuy,SA,97
Canada,CLKT,CAN,CLKT_CAN, ,Chilkat,NA,1792
United States of America,CLKT,USA,CLKT_USA, ,Chilkat,NA,2175
Canada,CLMB,CAN,CLMB_CAN, ,Columbia,NA,102825
Angola,CLNG,AGO,CLNG_AGO, ,Chiloango,AF,4580
Congo,CLNG,COG,CLNG_COG, ,Chiloango,AF,1061
Democratic Republic of the Congo,CLNG,ZAR,CLNG_ZAR, ,Chiloango,AF,7355
Bolivia,CNCS,BOL,CNCS_BOL, ,Cancoso/Lauca,SA,26406
Chile,CNCS,CHL,CNCS_CHL, ,Cancoso/Lauca,SA,6476
Burundi,CNGO,BDI,CNGO_BDI, ,Congo/Zaire,AF,13659
Cameroon,CNGO,CMR,CNGO_CMR, ,Congo/Zaire,AF,95006
Malawi,CNGO,MWI,CNGO_MWI, ,Congo/Zaire,AF,58
Rwanda,CNGO,RWA,CNGO_RWA, ,Congo/Zaire,AF,4541
United Republic of Tanzania,CNGO,TZA,CNGO_TZA, ,Congo/Zaire,AF,161721
Zambia,CNGO,ZMB,CNGO_ZMB, ,Congo/Zaire,AF,173779
Honduras,COCO,HND,COCO_HND, ,Coco/Segovia,NA,5608
Nicaragua,COCO,NIC,COCO_NIC, ,Coco/Segovia,NA,18901
Argentina,COMA,ARG,COMA_ARG, ,Comau,SA,74
Chile,COMA,CHL,COMA_CHL, ,Comau,SA,836
Cameroon,CROS,CMR,CROS_CMR, ,Cross,AF,13399
Georgia,CRUH,GEO,CRUH_GEO, ,Coruh,AS,1825
Turkey,CRUH,TUR,CRUH_TUR, ,Coruh,AS,20213
Ireland,CSTL,IRL,CSTL_IRL, ,Castletown,EU,80
U.K. of Great Britain and Northern Ireland,CSTL,GBR,CSTL_GBR, ,Castletown,EU,186
Liberia,CSTO,LBR,CSTO_LBR, ,Cestos,AF,10486
Guatemala,CTAT,GTM,CTAT_GTM, ,Coatan Achute,NA,264
Mexico,CTAT,MEX,CTAT_MEX, ,Coatan Achute,NA,415
Colombia,CTTB,COL,CTTB_COL, ,Catatumbo,SA,16514
Venezuela,CTTB,VEN,CTTB_VEN, ,Catatumbo,SA,10921
Argentina,CULL,ARG,CULL_ARG, ,Cullen,SA,223
Chile,CULL,CHL,CULL_CHL, ,Cullen,SA,695
C̫te d'Ivoire,CVLY,CIV,CVLY_CIV, ,Cavally,AF,16157
Liberia,CVLY,LBR,CVLY_LBR, ,Cavally,AF,11936
Algeria,DAUR,DZA,DAUR_DZA, ,Daoura,AF,9598
Morocco,DAUR,MAR,DAUR_MAR, ,Daoura,AF,40092
Belarus,DNPR,BLR,DNPR_BLR, ,Dnieper,EU,118703
Russian Federation,DNPR,RUS,DNPR_RUS, ,Dnieper,EU,99686
Ukraine,DNPR,UKR,DNPR_UKR, ,Dnieper,EU,292995
"Moldova, Republic of",DNSR,MDA,DNSR_MDA, ,Dniester,EU,19356
Poland,DNSR,POL,DNSR_POL, ,Dniester,EU,232
Ukraine,DNSR,UKR,DNSR_UKR, ,Dniester,EU,53794
Ukraine,DONX,UKR,DONX_UKR, ,Don,EU,54722
Croatia,DRAG,HRV,DRAG_HRV, ,Dragonja,EU,61
Slovenia,DRAG,SVN,DRAG_SVN, ,Dragonja,EU,93
Algeria,DRAX,DZA,DRAX_DZA, ,Dra,AF,15565
Morocco,DRAX,MAR,DRAX_MAR, ,Dra,AF,78613
Iran  (Islamic Republic of),DSHT,IRN,DSHT_IRN, ,Dasht,AS,6320
Pakistan,DSHT,PAK,DSHT_PAK, ,Dasht,AS,24664
Belarus,DUGV,BLR,DUGV_BLR, ,Daugava,EU,33431
Estonia,DUGV,EST,DUGV_EST, ,Daugava,EU,131
Latvia,DUGV,LVA,DUGV_LVA, ,Daugava,EU,23402
Lithuania,DUGV,LTU,DUGV_LTU, ,Daugava,EU,1864
Russian Federation,DUGV,RUS,DUGV_RUS, ,Daugava,EU,27516
Portugal,DURO,PRT,DURO_PRT, ,Douro/Duero,EU,18672
Spain,DURO,ESP,DURO_ESP, ,Douro/Duero,EU,78708
France,EBRO,FRA,EBRO_FRA, ,Ebro,EU,525
Spain,EBRO,ESP,EBRO_ESP, ,Ebro,EU,84482
Russian Federation,ELNK,RUS,ELNK_RUS, ,Elancik,EU,937
Ukraine,ELNK,UKR,ELNK_UKR, ,Elancik,EU,444
Ireland,ERNE,IRL,ERNE_IRL, ,Erne,EU,2520
U.K. of Great Britain and Northern Ireland,ERNE,GBR,ERNE_GBR, ,Erne,EU,1918
Angola,ETOS,AGO,ETOS_AGO, ,Cuvelai/Etosha,AF,54110
Namibia,ETOS,NAM,ETOS_NAM, ,Cuvelai/Etosha,AF,119573
Ireland,FANE,IRL,FANE_IRL, ,Fane,EU,281
U.K. of Great Britain and Northern Ireland,FANE,GBR,FANE_GBR, ,Fane,EU,60
Ireland,FLRY,IRL,FLRY_IRL, ,Flurry,EU,155
U.K. of Great Britain and Northern Ireland,FLRY,GBR,FLRY_GBR, ,Flurry,EU,46
Bangladesh,FNNY,BGD,FNNY_BGD, ,Fenney,AS,1509
India,FNNY,IND,FNNY_IND, ,Fenney,AS,1519
Ireland,FOYL,IRL,FOYL_IRL, ,Foyle,EU,894
U.K. of Great Britain and Northern Ireland,FOYL,GBR,FOYL_GBR, ,Foyle,EU,2028
Canada,FRSR,CAN,FRSR_CAN, ,Fraser,NA,230962
United States of America,FRSR,USA,FRSR_USA, ,Fraser,NA,631
Canada,FRTH,CAN,FRTH_CAN, ,Firth,NA,3512
United States of America,FRTH,USA,FRTH_USA, ,Firth,NA,2562
Eritrea,GASH,ERI,GASH_ERI, ,Gash,AF,16843
Ethiopia,GASH,ETH,GASH_ETH, ,Gash,AF,5961
Sudan,GASH,SDN,GASH_SDN, ,Gash,AF,853
Belize,GJLV,BLZ,GJLV_BLZ, ,Grijalva,NA,31
Guatemala,GJLV,GTM,GJLV_GTM, ,Grijalva,NA,46941
Mexico,GJLV,MEX,GJLV_MEX, ,Grijalva,NA,78703
Norway,GLAM,NOR,GLAM_NOR, ,Glama,EU,41006
Sweden,GLAM,SWE,GLAM_SWE, ,Glama,EU,370
Malaysia,GLOK,MYS,GLOK_MYS, ,Golok,AS,989
Thailand,GLOK,THA,GLOK_THA, ,Golok,AS,1330
El Salvador,GOSR,SLV,GOSR_SLV, ,Goascoran,NA,1338
Honduras,GOSR,HND,GOSR_HND, ,Goascoran,NA,1408
Spain,GRON,ESP,GRON_ESP, ,Garonne,EU,589
Guinea,GSCR,GIN,GSCR_GIN, ,Great Scarcies,AF,5235
Sierra Leone,GSCR,SLE,GSCR_SLE, ,Great Scarcies,AF,2597
Portugal,GUDN,PRT,GUDN_PRT, ,Guadiana,EU,11646
Spain,GUDN,ESP,GUDN_ESP, ,Guadiana,EU,55415
Algeria,GUIR,DZA,GUIR_DZA, ,Guir,AF,83613
Morocco,GUIR,MAR,GUIR_MAR, ,Guir,AF,25120
Estonia,GUJA,EST,GUJA_EST, ,Gauja,EU,1156
Latvia,GUJA,LVA,GUJA_LVA, ,Gauja,EU,8050
Dem People's Rep of Korea,HANX,PRK,HANX_PRK, ,Han,AS,8369
Republic of Korea,HANX,KOR,HANX_KOR, ,Han,AS,25009
Afghanistan,HARI,AFG,HARI_AFG, ,Hari/Harirud,AS,38895
Iran  (Islamic Republic of),HARI,IRN,HARI_IRN, ,Hari/Harirud,AS,40855
Turkmenistan,HARI,TKM,HARI_TKM, ,Hari/Harirud,AS,39346
Iran  (Islamic Republic of),HIMR,IRN,HIMR_IRN, ,Hamun-i-Mashkel/Rakshan,AS,36442
Pakistan,HIMR,PAK,HIMR_PAK, ,Hamun-i-Mashkel/Rakshan,AS,80064
Iran  (Islamic Republic of),HLMD,IRN,HLMD_IRN, ,Helmand,AS,46606
Pakistan,HLMD,PAK,HLMD_PAK, ,Helmand,AS,44148
Belize,HOND,BLZ,HOND_BLZ, ,Hondo,NA,2703
Guatemala,HOND,GTM,HOND_GTM, ,Hondo,NA,4914
Mexico,HOND,MEX,HOND_MEX, ,Hondo,NA,5082
China,HSIX,CHN,HSIX_CHN, ,Bei Jiang/Hsi,AS,389510
Viet Nam,HSIX,VNM,HSIX_VNM, ,Bei Jiang/Hsi,AS,11573
Mozambique,ICMT,MOZ,ICMT_MOZ, ,Incomati,AF,15333
South Africa,ICMT,ZAF,ICMT_ZAF, ,Incomati,AF,28736
Swaziland,ICMT,SWZ,ICMT_SWZ, ,Incomati,AF,2562
Kazakhstan,ILIX,KAZ,ILIX_KAZ, ,Ili/Kunes He,AS,357239
